"y","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90"
1997,50.14636,47.82251,22.63541,4.63088,-38.40152,-15.94978,2.24858,-0.15342,10.63737,4.94996,-1.62395,-6.23653,13.33672,1132.51146,877.06466,613.43661,696.36267,593.86499,386.33921,335.95675,177.99201,202.50869,163.04596,141.13586,38.45253,-40.84746,-169.029,47.75722,64.52429,120.09597,-9.74473,34.40587,-26.24226,0.79948,-4.62894,43.07065,-149.58643,-161.58311,-160.61658,-123.56515,75.04987,53.00814,-48.51187,-8.4004,-0.9508,0.08575,131.38746,-71.89626,13.63902,20.07344,66.70223,-19.13478,15.3612,4.44518,23.5057,-63.9433,66.55565,-96.07046,-37.1938,-100.26582,-26.98166,7.0884,-17.14157,-203.12219,-45.19097,11.50116,-48.91248,39.51983,64.2121,-27.86446,127.9694,29.0237,-36.28561,74.30926,4.66506,-1.75511,-80.15511,78.43664,3.80982,-25.47173,-1.34397,10.83113,-10.36166,55.49306,4.30468,81.5365,-64.30162,8.5707,-1.74596,-10.70735
2005,43.798,32.62884,0.39138,16.88158,14.46289,17.83146,-11.54331,4.91095,1.53289,9.09531,-3.89619,4.59071,30.00098,2105.70172,2993.37224,2070.66387,824.20384,1654.42638,615.18121,661.04088,313.31962,396.50596,442.60128,171.34958,-36.48496,407.21214,-135.17764,-49.78673,44.18818,249.9569,-74.54762,37.21404,-65.35385,-50.42522,-40.96304,-118.6169,169.0953,615.93355,-284.45561,-42.58994,93.54946,117.99318,-77.72453,48.61134,54.5891,-17.30645,321.60357,-271.14302,19.87364,87.55316,-15.61836,3.94663,132.08539,-30.72339,-18.66384,0.17716,108.53252,16.1466,20.58668,33.48962,-4.89955,22.70489,26.18704,167.36121,-241.14709,109.25301,25.1917,-90.66647,-55.3738,-23.13087,180.24067,113.93997,-71.1446,12.44415,-3.01641,3.75655,-44.35965,-144.64789,4.95018,-6.35109,-3.97839,-97.00713,-5.91153,10.08975,13.49904,47.06068,-258.72804,10.48214,-61.167,17.85863
2004,50.23507,50.25308,2.02847,-9.9929,-38.80629,-22.13219,9.83439,-0.30365,13.01172,11.49723,-2.10504,-0.29054,8.61914,600.26612,737.07268,488.75097,446.04044,386.42524,361.10615,299.75949,301.644,168.32777,125.3374,271.88192,6.09683,-219.89988,-9.12514,-15.33374,-16.16316,29.25529,-36.582,15.04477,-35.80752,-18.87748,19.86127,32.6221,-120.21501,-18.78092,-167.67538,49.57933,-26.6039,41.32535,-60.32177,42.06577,-20.52302,5.13446,168.73649,22.9954,-51.29235,121.58614,15.76832,36.39995,-0.97489,121.9722,15.11414,-52.215,85.23731,25.93578,-123.89759,-37.7879,13.52227,26.59952,-11.47904,-61.11974,-10.95752,-7.7436,-19.35028,17.86814,117.1594,2.7322,74.71979,123.94072,-11.33502,-21.1494,-20.79937,7.21811,-129.68675,-50.70262,-89.1061,-43.12481,-1.48157,1.30656,51.55411,29.28965,-2.19183,-36.40566,73.98627,1.01348,-56.06827,0.75787
1997,48.1029,54.74232,32.17124,2.41454,-36.33437,-23.18633,-2.31722,12.67928,7.26627,9.3492,1.19067,-2.53943,20.80443,471.72991,442.55009,1131.34856,319.61602,356.79503,250.08647,262.68173,241.31167,205.25265,181.58739,125.76132,-18.89414,-127.17571,-393.65412,68.68021,27.64437,41.5102,-66.85201,36.42783,44.78631,-4.23425,17.3156,20.97489,-22.6253,54.67154,-152.5891,108.22502,-49.40803,115.17247,-96.49493,-46.82561,-42.04309,-21.83588,-31.40033,155.80689,-151.86902,29.98408,-29.23733,119.58146,-53.4875,28.60561,-22.89475,-125.58094,126.88597,356.00284,112.25218,120.42422,-11.50893,32.82801,2.17512,-8.53209,-155.17419,115.8047,88.63747,-22.11239,5.6593,4.15195,11.828,27.58604,-191.45961,-69.60546,-44.10938,-8.3191,-86.4417,147.95819,-208.45262,23.59334,16.29919,-85.2533,99.13227,60.73213,8.56249,-5.45245,-19.33358,4.77363,10.17996,2.53918
1992,49.81472,36.04861,22.00851,-6.45908,-34.04453,-34.16742,-4.35955,-6.8639,13.40997,4.9627,7.38647,-0.31295,11.74309,1259.12536,538.62977,404.31112,568.08307,251.55676,285.99026,205.09409,184.90854,166.72437,108.59115,110.08064,75.56902,82.05251,-15.02083,26.69527,57.34673,-33.51026,-38.69793,-27.85033,48.48497,-35.90039,22.2865,1.30549,66.35606,104.94255,-93.60625,-142.5273,-5.69435,79.79898,-46.03134,-4.34435,-21.06069,-10.47587,-150.34357,183.18403,-79.14948,45.17742,4.7529,82.17389,-2.40523,-8.56122,-13.8667,27.62434,-87.85939,22.72358,-100.0206,-36.46279,-30.99808,-16.59067,3.51254,-52.6199,-4.91602,18.63791,-107.74529,-0.58516,-18.9154,2.28893,77.84918,32.26454,-75.65479,7.70368,-10.65148,3.8809,-99.43121,15.86558,85.91412,10.64651,-2.67265,-30.17922,-27.94068,14.7594,3.44704,-2.97201,12.00649,-4.05154,-103.17213,-9.58708
2001,35.56951,-93.0282,7.41514,-16.24994,-13.18681,6.40383,-30.75103,0.61416,0.67137,3.35314,-4.6244,5.57266,27.73205,3674.63486,1321.52749,1914.27804,1347.76348,1126.34438,1032.71099,993.22575,793.36803,682.85268,375.17316,553.72132,3.24058,-732.29814,-222.79706,-91.32808,-347.35369,-271.30591,-9.5758,57.35298,-21.0158,-90.68424,64.55863,65.62248,-284.50858,104.7863,-333.13611,632.20782,-145.26428,56.37478,-18.49902,6.82851,27.81437,31.43873,-289.91613,287.76994,-257.12197,122.5904,-133.64801,117.36371,5.1363,65.50602,-40.18676,55.33618,320.18178,176.10505,443.36135,80.52356,32.60633,51.38765,69.69876,-289.86735,-1.82818,17.23208,136.63767,-112.98358,218.86871,-54.36136,-350.6794,87.76224,-98.80916,-26.16051,-153.1182,-8.58236,61.30117,386.56205,-285.14066,156.98385,16.58256,-781.51352,-10.57672,5.31215,8.44974,265.98162,-110.9607,-3.49447,117.24898,1.3633
2007,48.90622,-9.51016,10.02028,-7.68647,-22.08679,-2.38857,-6.87509,1.3587,7.78185,-2.29502,1.00169,5.99423,18.38756,2110.65878,1074.19698,1582.11004,885.23973,783.26968,383.95818,696.06196,348.70992,405.29496,314.09777,310.14668,85.65711,-168.99236,-301.17876,-132.99572,-45.67981,-12.66763,-21.09898,13.19697,-25.08449,-51.29631,-36.68241,36.97979,-400.22484,-228.55043,-291.80964,156.21188,1.89971,-19.5068,-53.57576,23.93281,-8.10117,17.16654,277.22892,160.45368,-149.25492,245.75517,46.85015,23.96576,34.44219,-14.55397,4.18739,89.02897,81.33268,-166.30214,-24.79225,-37.97114,37.12319,10.17843,-0.69466,-311.12711,-44.57672,62.96252,88.99683,15.16428,87.32364,-24.14139,306.41663,75.67155,-82.57576,-100.41181,-90.86435,4.05584,8.18348,106.2079,-209.95775,59.5439,25.33751,118.70288,72.56603,123.30927,4.86989,-15.45864,-73.12902,-2.59349,-146.33549,-18.22333
2001,34.23324,1.32175,-17.57387,10.97952,-18.53119,46.27776,16.10423,26.38217,1.04397,9.81734,-17.80026,-2.992,59.70912,2258.0631,3267.18835,3235.66248,1008.99322,2632.12384,1185.13266,523.29242,474.02727,309.01353,757.16811,381.4572,-152.44631,1510.8919,-615.36494,2.88708,146.91515,489.82565,18.86633,189.50528,-28.13318,12.81049,-98.08645,-83.99224,329.43906,95.65389,-154.22335,-540.67208,316.09975,-105.73409,-22.71905,92.01611,59.75954,33.46199,-456.82789,297.62914,-398.05179,77.55524,-98.89983,220.25771,28.37551,-95.19817,-9.41722,-4.47303,546.96889,468.32323,79.90791,368.64298,-88.09229,37.92615,163.7935,344.97898,-425.96767,142.2134,85.80298,-44.61634,381.16557,4.58955,-279.14624,-827.02295,-359.21376,244.00456,50.43275,31.79161,-509.48372,45.21383,-273.92581,-125.60532,28.00369,-222.80734,25.71288,36.52355,18.56519,-96.68651,323.95494,25.74361,48.08631,12.12937
1996,46.08473,14.92847,44.56657,12.80498,-10.19202,-14.47662,12.09366,6.08234,-3.82744,0.46289,0.70704,-7.39475,17.02836,1123.28573,1305.31257,1045.43155,711.65042,574.28386,504.52148,326.94448,347.6183,211.77697,238.74216,258.44731,45.55446,-33.9025,-166.76308,-111.50842,-33.66916,18.75748,-110.45361,52.84758,83.80546,-15.16355,14.44489,-1.46368,-239.29669,-356.24662,-256.77676,-164.00873,85.05014,-125.01834,-15.61779,-39.05204,-24.75632,-35.50846,18.46211,167.26312,36.38024,83.44151,33.61785,-48.78246,-8.1306,8.55491,28.50519,-6.72331,280.32183,-46.56462,142.4858,35.73813,44.65787,46.73693,2.33534,-97.60219,-145.2078,-23.50274,98.72053,40.4096,32.56335,-30.96538,126.13394,-52.94627,-88.13928,-16.48,-32.71692,19.97055,-80.86448,41.54158,-46.36775,68.54686,16.82259,-36.86811,31.08418,27.91546,10.8294,1.3998,-152.94658,-6.66418,32.15169,-8.77608
2006,35.16146,-100.89261,-46.60593,-39.3434,-14.28659,-19.97133,-16.55607,-0.86523,1.7264,-3.1973,4.0119,11.13828,23.01208,2199.97017,1536.23208,917.25543,650.22767,369.0567,458.96004,311.47771,312.27278,277.74406,256.89242,405.07787,23.91639,115.63654,210.14389,12.45741,0.03207,-44.16784,43.69546,19.08486,-9.41517,-28.2307,84.83289,107.37199,-295.53748,273.29657,-157.41144,100.13767,-35.49934,-63.20423,-74.38963,-20.92786,38.24592,21.2267,325.1662,176.15343,47.87038,4.45412,38.16758,1.61517,70.82541,33.29694,47.78945,116.55798,44.93741,-73.15285,121.34473,-29.99389,26.9415,35.838,17.0332,-204.50002,37.24981,-62.82837,-67.17242,-53.01151,121.189,-20.76672,-25.97241,52.35433,95.53089,-64.89107,-121.41135,-7.05379,141.25353,17.45157,-252.09324,-1.99371,23.47154,-225.40816,-160.91313,-15.96193,1.20137,-75.22223,-363.07383,-16.53401,-95.919,-15.60414
1997,44.17826,3.93454,28.20531,-15.54459,-30.91861,-11.85411,-24.79362,-2.8084,-20.19781,-7.61995,1.26966,-7.21998,59.8278,1036.24928,566.19208,460.47346,333.20683,434.83169,256.63698,186.06898,167.3979,119.5823,163.32181,152.35302,110.93356,129.66139,8.2563,-39.12802,-36.29125,54.73058,49.0661,-12.39871,-13.79678,-48.69625,-9.52705,101.0637,46.24012,-160.12881,-40.43402,62.3274,82.52929,-53.06313,-1.25554,17.58313,-12.26935,40.82258,-55.91001,19.21635,-99.28567,47.21986,-39.55212,51.85525,-52.73703,-9.31668,-79.94703,-246.39765,-41.74157,58.31374,15.63384,67.0447,-36.46065,6.72243,-32.77964,-138.06149,-78.66705,28.30261,55.05863,-158.79183,6.13478,-60.59827,-101.7523,-9.7838,-16.60691,-36.13883,-20.52568,-30.94367,44.21575,-18.30044,-49.47613,48.27263,24.19695,-77.5096,75.4283,-3.79571,-25.68299,122.28556,-94.64867,40.76851,27.59612,-9.61258
